vocabulary size: 164
n tunes: 9984
n train tunes: 9472.0
n validation tunes: 512.0
min, max length 47 1277
Building the model
  number of parameters: 5698996
  layer output shapes:               #params:   output shape:
    InputLayer                       0          (32, None)
    EmbeddingLayer                   26896      (32, None, 164)
    InputLayer                       0          (32, None)
    LSTMLayer                        1387520    (32, None, 512)
    DropoutLayer                     0          (32, None, 512)
    LSTMLayer                        2100224    (32, None, 512)
    DropoutLayer                     0          (32, None, 512)
    LSTMLayer                        2100224    (32, None, 512)
    DropoutLayer                     0          (32, None, 512)
    ReshapeLayer                     0          (None, 512)
    DenseLayer                       84132      (None, 164)
Train model
1/1184 (epoch 0.003) train_loss=1723.13334374 time/batch=13.40s
2/1184 (epoch 0.007) train_loss=1005.53648695 time/batch=8.40s
3/1184 (epoch 0.010) train_loss=1014.33981800 time/batch=12.05s
4/1184 (epoch 0.014) train_loss=924.99916649 time/batch=11.50s
5/1184 (epoch 0.017) train_loss=734.86241778 time/batch=7.53s
6/1184 (epoch 0.020) train_loss=577.48685565 time/batch=6.63s
7/1184 (epoch 0.024) train_loss=1033.64752284 time/batch=11.82s
8/1184 (epoch 0.027) train_loss=515.55269695 time/batch=6.47s
9/1184 (epoch 0.030) train_loss=1127.35428531 time/batch=14.31s
10/1184 (epoch 0.034) train_loss=936.63502176 time/batch=11.66s
11/1184 (epoch 0.037) train_loss=327.82228778 time/batch=3.97s
12/1184 (epoch 0.041) train_loss=1079.76514810 time/batch=14.28s
13/1184 (epoch 0.044) train_loss=948.69812313 time/batch=12.31s
14/1184 (epoch 0.047) train_loss=431.70894528 time/batch=5.31s
15/1184 (epoch 0.051) train_loss=1129.28098632 time/batch=15.13s
16/1184 (epoch 0.054) train_loss=331.65023853 time/batch=4.67s
17/1184 (epoch 0.057) train_loss=180.86212560 time/batch=2.34s
18/1184 (epoch 0.061) train_loss=527.41030992 time/batch=6.67s
19/1184 (epoch 0.064) train_loss=838.42386605 time/batch=10.83s
20/1184 (epoch 0.068) train_loss=1446.98775707 time/batch=16.69s
21/1184 (epoch 0.071) train_loss=1260.17028618 time/batch=16.26s
22/1184 (epoch 0.074) train_loss=1511.81651427 time/batch=18.86s
23/1184 (epoch 0.078) train_loss=519.25258308 time/batch=6.75s
24/1184 (epoch 0.081) train_loss=170.41335489 time/batch=2.10s
25/1184 (epoch 0.084) train_loss=1414.23492071 time/batch=18.95s
26/1184 (epoch 0.088) train_loss=1924.29253216 time/batch=26.61s
27/1184 (epoch 0.091) train_loss=621.57497510 time/batch=7.22s
28/1184 (epoch 0.095) train_loss=958.62146950 time/batch=11.64s
