vocabulary size: 120
n tunes: 3411
n train tunes: 3251.0
n validation tunes: 160.0
min, max length 2 1960
Building the model
  number of parameters: 5573816
  layer output shapes:               #params:   output shape:
    InputLayer                       0          (32, None)
    EmbeddingLayer                   14400      (32, None, 120)
    InputLayer                       0          (32, None)
    LSTMLayer                        1297408    (32, None, 512)
    DropoutLayer                     0          (32, None, 512)
    LSTMLayer                        2100224    (32, None, 512)
    DropoutLayer                     0          (32, None, 512)
    LSTMLayer                        2100224    (32, None, 512)
    DropoutLayer                     0          (32, None, 512)
    ReshapeLayer                     0          (None, 512)
    DenseLayer                       61560      (None, 120)
Train model
1/203 (epoch 0.010) train_loss=232.73118591 time/batch=1.22s
2/203 (epoch 0.020) train_loss=290.65158081 time/batch=2.01s
3/203 (epoch 0.030) train_loss=271.55688477 time/batch=1.47s
4/203 (epoch 0.039) train_loss=856.73638916 time/batch=4.73s
5/203 (epoch 0.049) train_loss=584.08691406 time/batch=3.38s
6/203 (epoch 0.059) train_loss=402.79794312 time/batch=2.67s
7/203 (epoch 0.069) train_loss=657.60028076 time/batch=4.78s
8/203 (epoch 0.079) train_loss=173.76144409 time/batch=1.51s
9/203 (epoch 0.089) train_loss=389.59310913 time/batch=6.74s
10/203 (epoch 0.098) train_loss=845.00457764 time/batch=16.49s
11/203 (epoch 0.108) train_loss=108.82350159 time/batch=1.94s
12/203 (epoch 0.118) train_loss=62.45563126 time/batch=1.14s
13/203 (epoch 0.128) train_loss=1269.76013184 time/batch=103.34s
14/203 (epoch 0.138) train_loss=319.20629883 time/batch=5.16s
15/203 (epoch 0.148) train_loss=352.39840698 time/batch=6.14s
16/203 (epoch 0.157) train_loss=598.01721191 time/batch=8.98s
17/203 (epoch 0.167) train_loss=353.24618530 time/batch=2.61s
18/203 (epoch 0.177) train_loss=482.77328491 time/batch=3.57s
19/203 (epoch 0.187) train_loss=542.24835205 time/batch=5.61s
20/203 (epoch 0.197) train_loss=489.47756958 time/batch=3.79s
21/203 (epoch 0.207) train_loss=332.33868408 time/batch=2.54s
22/203 (epoch 0.217) train_loss=177.92918396 time/batch=2.12s
23/203 (epoch 0.226) train_loss=256.75192261 time/batch=2.02s
24/203 (epoch 0.236) train_loss=263.37741089 time/batch=2.06s
25/203 (epoch 0.246) train_loss=199.18583679 time/batch=1.61s
26/203 (epoch 0.256) train_loss=706.16894531 time/batch=5.24s
27/203 (epoch 0.266) train_loss=288.15695190 time/batch=2.19s
28/203 (epoch 0.276) train_loss=310.68972778 time/batch=2.37s
29/203 (epoch 0.285) train_loss=51.57794571 time/batch=0.55s
30/203 (epoch 0.295) train_loss=302.40036011 time/batch=2.32s
31/203 (epoch 0.305) train_loss=322.60977173 time/batch=2.51s
32/203 (epoch 0.315) train_loss=594.02478027 time/batch=4.24s
33/203 (epoch 0.325) train_loss=376.45559692 time/batch=2.91s
34/203 (epoch 0.335) train_loss=379.20379639 time/batch=2.93s
35/203 (epoch 0.345) train_loss=189.54522705 time/batch=1.61s
36/203 (epoch 0.354) train_loss=273.02618408 time/batch=2.16s
37/203 (epoch 0.364) train_loss=558.95361328 time/batch=4.23s
38/203 (epoch 0.374) train_loss=176.78475952 time/batch=1.42s
39/203 (epoch 0.384) train_loss=114.32135010 time/batch=1.03s
40/203 (epoch 0.394) train_loss=495.97921753 time/batch=3.72s
41/203 (epoch 0.404) train_loss=524.63757324 time/batch=4.00s
42/203 (epoch 0.413) train_loss=512.12103271 time/batch=3.90s
43/203 (epoch 0.423) train_loss=215.19050598 time/batch=1.76s
44/203 (epoch 0.433) train_loss=274.34008789 time/batch=2.28s
45/203 (epoch 0.443) train_loss=175.87445068 time/batch=1.50s
46/203 (epoch 0.453) train_loss=535.51208496 time/batch=4.05s
47/203 (epoch 0.463) train_loss=639.89520264 time/batch=4.93s
48/203 (epoch 0.472) train_loss=453.74533081 time/batch=3.39s
